source,target,weight
Jeffrey Epstein,Lesley Groff,1270
Jeffrey Epstein,Jo Jo,767
Jo Jo,Lesley Groff,500
Darren Indyke,Jeffrey Epstein,482
Jeffrey Epstein,Richard Kahn,372
Jeffrey Epstein,Leon Black,342
Darren Indyke,Richard Kahn,334
Leon Black,Lesley Groff,300
Darren Indyke,Lesley Groff,230
Jo Jo,Leon Black,227
Soon-Yi Previn,Woody Allen,198
Jeffrey Epstein,Woody Allen,189
Jack A. Goldberger,Jeffrey Epstein,157
Lesley Groff,Woody Allen,154
Jeffrey Epstein,Soon-Yi Previn,145
Lesley Groff,Soon-Yi Previn,131
Jo Jo,Woody Allen,121
Jeffrey Epstein,Sarah Kellen,114
Debra C. Freeman,Jeffrey Epstein,106
Darren Indyke,Debra C. Freeman,102
Darren Indyke,Jo Jo,102
Jack A. Goldberger,Jo Jo,102
Lesley Groff,Richard Kahn,101
Jo Jo,Soon-Yi Previn,101
Debra C. Freeman,Richard Kahn,98
Bradley Edwards,Jeffrey Epstein,96
Leon Black,Woody Allen,94
Jo Jo,Richard Kahn,91
Darren Indyke,Leon Black,88
Jeffrey Epstein,Leon Botstein,85
Ghislaine Maxwell,Jeffrey Epstein,81
Leon Black,Soon-Yi Previn,81
Jeffrey Epstein,Kenneth Marra,80
Janusz Banasiak,Jeffrey Epstein,75
Jeffrey Epstein,Michael Wolff,75
Leon Botstein,Lesley Groff,73
Jeffrey Epstein,Joi Ito,72
Joi Ito,Lesley Groff,72
Jeffrey Epstein,Stuart S. Mermelstein,72
Andrew Farkas,Jeffrey Epstein,70
Lesley Groff,Michael Wolff,70
Janusz Banasiak,Lesley Groff,69
Jeffrey Epstein,Reid Weingarten,69
Boris Nikolic,Jeffrey Epstein,68
Jeffrey Epstein,Larry Visoski,62
Jeffrey Epstein,Martin Nowak,61
Jack A. Goldberger,Stuart S. Mermelstein,60
Jeffrey Epstein,Larry Summers,60
Andrew Farkas,Lesley Groff,59
Boris Nikolic,Lesley Groff,58
Jeffrey Epstein,Paul Morris,58
Bradley Edwards,Jo Jo,58
Lesley Groff,Paul Morris,57
Lesley Groff,Reid Weingarten,56
Leon Black,Richard Kahn,55
Lesley Groff,Martin Nowak,54
Jo Jo,Joi Ito,53
Jo Jo,Leon Botstein,53
Jack P. Hill,Jeffrey Epstein,52
Alan Dershowitz,Jeffrey Epstein,52
Jeffrey Epstein,Jes Staley,52
Jeffrey Epstein,Theodore J. Leopold,52
Jack A. Goldberger,Jack P. Hill,51
Bradley Edwards,Jack A. Goldberger,51
Bradley Edwards,Stuart S. Mermelstein,51
Juliette Bryant,Richard Kahn,51
Jo Jo,Larry Summers,51
Darren Indyke,Juliette Bryant,51
Jo Jo,Martin Nowak,50
Jo Jo,Stuart S. Mermelstein,49
Jack P. Hill,Stuart S. Mermelstein,49
Bradley Edwards,Jack P. Hill,48
Leon Black,Michael Wolff,48
Bradley Edwards,Paul Cassell,48
Jo Jo,Reid Weingarten,48
Leon Black,Paul Morris,48
Jack P. Hill,Jo Jo,48
Boris Nikolic,Jo Jo,47
Jean-Luc Brunel,Jeffrey Epstein,47
Jeffrey Epstein,Juliette Bryant,47
Jeffrey Epstein,Mort Zuckerman,47
Jeffrey Epstein,Paul Cassell,47
